method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p05,0.97,0.05,0.6091841496941715,1800,36,720,0.4,34592.569643834264,69.62930277456081,73.90833333333333,22.927777777777777,73.05694444444444,52.318556876106506,50.02577909832872,2.292777777777778,0.948811221141013,0.003993469381234462,0.01697857999044686
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p07,0.97,0.07,0.4351315354958367,1800,36,720,0.4,34639.41534543136,81.66231757028054,66.30972222222222,30.416666666666668,65.40833333333333,53.49723331312067,49.238899979787334,4.258333333333334,0.910721106383419,0.004119930356780018,0.016653015662676664
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p1,0.97,0.1,0.3045920748470857,1800,36,720,0.4,35077.50880624571,103.68395528194702,57.05416666666667,39.78055555555556,56.08611111111111,55.81456896310443,47.858457851993315,7.9561111111111105,0.8454571935667479,0.00447938004506189,0.016437387805949284
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p15,0.97,0.15,0.2030613832313905,1800,36,720,0.4,39001.75593556121,132.38508563526187,46.74722222222222,50.72083333333333,45.74722222222222,60.665795486516636,45.449545486516634,15.21625,0.7366812998646027,0.00483412964367662,0.01636562934540594
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p2,0.97,0.2,0.15229603742354286,1800,36,720,0.4,43877.90438915004,150.96656399074624,40.170833333333334,58.00555555555555,39.170833333333334,66.3898012920698,43.1875790698476,23.202222222222215,0.6391608249993758,0.0049026128272781555,0.01617827756852575
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p25,0.97,0.25,0.1218368299388343,1800,36,720,0.4,53207.12266744614,165.28130491375487,35.330555555555556,63.025,34.330555555555556,72.72523614770182,41.212736147701825,31.5125,0.557580336331097,0.004677107987721625,0.016229747716351214
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p02,0.98,0.02,1.0101353658759733,1800,36,720,0.4,43230.33958892392,75.06618943767222,91.175,7.527777777777778,90.78888888888889,52.9375632009046,52.63645208979348,0.3011111111111111,0.9924182854585797,0.002242377597048165,0.014297454214958207
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p03,0.98,0.03,0.6734235772506489,1800,36,720,0.4,43231.8381157064,75.51044799878129,86.24305555555556,11.698611111111111,85.6361111111111,53.161504302869346,52.45958763620268,0.7019166666666667,0.9832215751824028,0.002093622379711151,0.014129168056297802
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p05,0.98,0.05,0.4040541463503893,1800,36,720,0.4,43236.27476700585,77.22699149557752,76.08194444444445,20.602777777777778,75.24861111111112,53.92729079604976,51.86701301827198,2.0602777777777774,0.9549922575826839,0.001819153182264494,0.013719868123323906
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p07,0.98,0.07,0.28861010453599234,1800,36,720,0.4,43258.46843256362,87.64286418806662,68.18888888888888,28.31111111111111,67.3125,55.03454959434133,51.07099403878577,3.9635555555555557,0.9185570083479457,0.0018623812934008104,0.013406059636612134
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p1,0.98,0.1,0.20202707317519464,1800,36,720,0.4,43491.85861652557,105.44527482127948,59.205555555555556,37.15972222222222,58.268055555555556,57.22818378220323,49.796239337758784,7.431944444444444,0.858071947876709,0.0022111638605605997,0.013070175540216639
