method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,20,0.1,0.9,0.05,2.1072103131565254,50,50,1.0,69.65734935997925,27.782824719016983,63.38,33.62,62.42,37.08880849970398,33.726808499703985,3.3620000000000005,0.9071834655821566,0.02877640980956951,0.05067552990985027
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,20,0.2,0.9,0.05,2.1072103131565254,50,50,1.0,72.02947078080926,29.487861992623714,62.74,34.08,61.78,37.14311265910199,33.735112659101986,3.4079999999999995,0.9063264596384671,0.028781787449942895,0.05058645896014977
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,40,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,344.21111599245415,319.5933035375775,94.2,4.4,93.8,49.48889280690687,49.04889280690687,0.44000000000000006,0.9909977332068166,0.015886264613898155,0.04616539672379534
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,40,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,349.05764017101,334.3826557250914,94.2,4.0,93.8,49.491029766915744,49.091029766915746,0.4,0.9918006051810394,0.015886264613898155,0.04616539672379534
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,40,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,339.0970908841001,315.86856094755376,96.6,2.4,96.2,49.349815215303735,49.10981521530373,0.24,0.9951454858334696,0.01644733464512877,0.046182129522799424
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,10,0.0,0.9,0.05,2.1072103131565254,50,50,1.0,0.004617716188140438,0.0045722369402932,43.64,57.06,42.64,37.496361461665735,31.79036146166573,5.7059999999999995,0.8447741286628322,0.021146946085333868,0.047642354860822314
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,10,0.1,0.9,0.05,2.1072103131565254,50,50,1.0,-0.21738339477942986,-0.21416244771056936,42.96,54.54,41.96,37.79530755575286,32.34130755575287,5.453999999999999,0.8518305724707015,0.024884868317616143,0.049405974549271196
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,10,0.2,0.9,0.05,2.1072103131565254,50,50,1.0,-0.4593627800890134,-0.4503119444827084,41.54,54.58,40.54,37.507302934881125,32.049302934881126,5.457999999999999,0.8501325843689891,0.028713531383758855,0.05120198224903258
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,20,0.0,0.9,0.05,2.1072103131565254,50,50,1.0,0.07627547499333234,0.07659415946113846,64.96,35.26,63.96,48.06998024855226,44.54398024855226,3.5260000000000007,0.9257710705325146,0.011181028575240464,0.044519172451399774
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,20,0.1,0.9,0.05,2.1072103131565254,50,50,1.0,-0.042626295521231435,-0.02966135865499645,64.96,35.02,63.96,48.472229826123765,44.97022982612377,3.502,0.9268274362426684,0.012365795680625189,0.04458053620827847
